Id,ActivityHour,StepTotal
1503960366.0,3/12/2016 12:00:00 AM,0.0
1503960366.0,3/12/2016 1:00:00 AM,
1503960366.0,3/12/2016 2:00:00 AM,0.0
1503960366.0,3/12/2016 3:00:00 AM,0.0
1503960366.0,3/12/2016 4:00:00 AM,0.0
1503960366.0,3/12/2016 5:00:00 AM,0.0
1503960366.0,3/12/2016 6:00:00 AM,0.0
1503960366.0,3/12/2016 7:00:00 AM,0.0
1503960366.0,3/12/2016 8:00:00 AM,0.0
1503960366.0,3/12/2016 9:00:00 AM,8.0
1503960366.0,3/12/2016 10:00:00 AM,
1503960366.0,3/12/2016 11:00:00 AM,1764.0
1503960366.0,3/12/2016 12:00:00 PM,1259.0
1503960366.0,3/12/2016 1:00:00 PM,253.0
1503960366.0,3/12/2016 2:00:00 PM,4470.0
1503960366.0,3/12/2016 3:00:00 PM,
1503960366.0,3/12/2016 4:00:00 PM,1905.0
1503960366.0,3/12/2016 5:00:00 PM,1038.0
1503960366.0,3/12/2016 6:00:00 PM,14.0
1503960366.0,3/12/2016 7:00:00 PM,606.0
1503960366.0,3/12/2016 8:00:00 PM,56.0
1503960366.0,3/12/2016 9:00:00 PM,782.0
1503960366.0,3/12/2016 10:00:00 PM,1132.0
1503960366.0,3/12/2016 11:00:00 PM,918.0
1503960366.0,3/13/2016 12:00:00 AM,39.0
1503960366.0,3/13/2016 1:00:00 AM,0.0
1503960366.0,3/13/2016 2:00:00 AM,27.0
1503960366.0,3/13/2016 3:00:00 AM,0.0
1503960366.0,3/13/2016 4:00:00 AM,0.0
1503960366.0,3/13/2016 5:00:00 AM,0.0
1503960366.0,3/13/2016 6:00:00 AM,
1503960366.0,3/13/2016 7:00:00 AM,0.0
1503960366.0,3/13/2016 8:00:00 AM,6.0
1503960366.0,3/13/2016 9:00:00 AM,73.0
1503960366.0,3/13/2016 10:00:00 AM,2850.0
1503960366.0,,4854.0
1503960366.0,3/13/2016 12:00:00 PM,24.0
1503960366.0,3/13/2016 1:00:00 PM,118.0
1503960366.0,3/13/2016 2:00:00 PM,19.0
,3/13/2016 3:00:00 PM,510.0
1503960366.0,3/13/2016 4:00:00 PM,510.0
1503960366.0,3/13/2016 5:00:00 PM,96.0
1503960366.0,3/13/2016 6:00:00 PM,4100.0
1503960366.0,3/13/2016 7:00:00 PM,1756.0
1503960366.0,3/13/2016 8:00:00 PM,477.0
1503960366.0,3/13/2016 9:00:00 PM,147.0
1503960366.0,3/13/2016 10:00:00 PM,214.0
1503960366.0,3/13/2016 11:00:00 PM,1286.0
1503960366.0,3/14/2016 12:00:00 AM,54.0
1503960366.0,3/14/2016 1:00:00 AM,53.0
1503960366.0,3/14/2016 2:00:00 AM,0.0
1503960366.0,3/14/2016 3:00:00 AM,0.0
1503960366.0,3/14/2016 4:00:00 AM,0.0
1503960366.0,3/14/2016 5:00:00 AM,0.0
1503960366.0,3/14/2016 6:00:00 AM,0.0
1503960366.0,3/14/2016 7:00:00 AM,53.0
1503960366.0,3/14/2016 8:00:00 AM,212.0
